频道名称,tvg-id,tvg-name,Logo链接,频道分类,播放地址,单播ID,分辨率
CCTV1综合,CCTV1,CCTV1,CCTV1.png,央视,233.50.201.118:5140,4646,1920x1080
CCTV2财经,CCTV2,CCTV2,CCTV2.png,央视,233.50.201.119:5140,4704,1920x1080
CCTV3综艺,CCTV3,CCTV3,CCTV3.png,央视,233.50.201.196:5140,5376344,1920x1080
CCTV4中文国际,CCTV4,CCTV4,CCTV4.png,央视,233.50.200.101:5140,,1920x1080
CCTV5体育,CCTV5,CCTV5,CCTV5.png,央视,233.50.201.197:5140,5376348,1920x1080
CCTV5+体育赛事,CCTV5+,CCTV5+,CCTV5+.png,央视,233.50.201.220:5140,52583203,1920x1080
CCTV6电影,CCTV6,CCTV6,CCTV6.png,央视,233.50.201.198:5140,5376347,1920x1080
CCTV7国防军事,CCTV7,CCTV7,CCTV7.png,央视,233.50.201.120:5140,4709,1920x1080
CCTV8电视剧,CCTV8,CCTV8,CCTV8.png,央视,233.50.201.199:5140,5376346,1920x1080
CCTV9纪录,CCTV9,CCTV9,CCTV9.png,央视,233.50.201.121:5140,4708,1920x1080
CCTV10科教,CCTV10,CCTV10,CCTV10.png,央视,233.50.201.122:5140,4707,1920x1080
CCTV11戏曲,CCTV11,CCTV11,CCTV11.png,央视,233.50.200.132:5140,,1920x1080
CCTV12社会与法,CCTV12,CCTV12,CCTV12.png,央视,233.50.201.123:5140,4706,1920x1080
CCTV13新闻,CCTV13,CCTV13,CCTV13.png,央视,233.50.201.246:5140,52628614,1920x1080
CCTV14少儿,CCTV14,CCTV14,CCTV14.png,央视,233.50.201.124:5140,4705,1920x1080
CCTV15音乐,CCTV15,CCTV15,CCTV15.png,央视,233.50.200.133:5140,,1920x1080
CCTV16奥林匹克,CCTV16,CCTV16,CCTV16.png,央视,233.50.201.192:5140,70526245,1920x1080
CCTV17农业农村,CCTV17,CCTV17,CCTV17.png,央视,233.50.200.113:5140,,1920x1080
CCTV16奥林匹克4K,CCTV16,CCTV16,CCTV16.png,4K超高清,233.50.201.63:5140,74036078,3840x2160
北京卫视4K,北京卫视,北京卫视,北京卫视4K.png,4K超高清,233.50.202.100:5140,128124468,3840x2160
广东卫视4K,广东卫视,广东卫视,广东卫视4K.png,4K超高清,233.50.202.101:5140,131699759,3840x2160
深圳卫视4K,深圳卫视,深圳卫视,深圳卫视4K.png,4K超高清,233.50.202.102:5140,131699789,3840x2160
浙江卫视4K,浙江卫视,浙江卫视,浙江卫视.png,4K超高清,233.50.202.104:5140,136086102,3840x2160
东方卫视4K,东方卫视,东方卫视,东方卫视.png,4K超高清,233.50.202.105:5140,136083231,3840x2160
湖南卫视4K,湖南卫视,湖南卫视,湖南卫视.png,4K超高清,233.50.202.106:5140,136083239,3840x2160
江苏卫视4K,江苏卫视,江苏卫视,江苏卫视.png,4K超高清,233.50.202.107:5140,136083266,3840x2160
四川卫视4K,四川卫视,四川卫视,四川卫视.png,4K超高清,233.50.202.109:5140,136083194,3840x2160
山东卫视4K,山东卫视,山东卫视,山东卫视.png,4K超高清,233.50.202.108:5140,136083250,3840x2160
多彩文体4K,多彩文体,多彩文体,多彩文体.png,4K超高清,233.50.200.52:5140,,3840x2160
BesTV-1,BesTV-1,BesTV-1,BesTV.png,4K超高清,233.50.200.182:5140,,3840x2160
BesTV-2,BesTV-2,BesTV-2,BesTV.png,4K超高清,233.50.200.183:5140,,3840x2160
BesTV-3,BesTV-3,BesTV-3,BesTV.png,4K超高清,233.50.200.185:5140,,3840x2160
浙江卫视,浙江卫视,浙江卫视,浙江卫视.png,卫视,233.50.201.100:5140,3844,1920x1080
深圳卫视,深圳卫视,深圳卫视,深圳卫视.png,卫视,233.50.201.101:5140,3849,1920x1080
广东卫视,广东卫视,广东卫视,广东卫视.png,卫视,233.50.201.102:5140,3845,1920x1080
湖南卫视,湖南卫视,湖南卫视,湖南卫视.png,卫视,233.50.201.103:5140,3848,1920x1080
天津卫视,天津卫视,天津卫视,天津卫视.png,卫视,233.50.201.104:5140,3846,1920x1080
山东卫视,山东卫视,山东卫视,山东卫视.png,卫视,233.50.201.105:5140,3847,1920x1080
江苏卫视,江苏卫视,江苏卫视,江苏卫视.png,卫视,233.50.201.106:5140,4345,1920x1080
北京卫视,北京卫视,北京卫视,北京卫视.png,卫视,233.50.201.107:5140,4344,1920x1080
纪实科教,纪实科教,纪实科教,纪实科教.png,卫视,233.50.202.34:5140,110036299,1920x1080
四川卫视,四川卫视,四川卫视,四川卫视.png,卫视,233.50.201.139:5140,5375991,1920x1080
河北卫视,河北卫视,河北卫视,河北卫视.png,卫视,233.50.201.140:5140,5375992,1920x1080
辽宁卫视,辽宁卫视,辽宁卫视,辽宁卫视.png,卫视,233.50.201.141:5140,5375989,1920x1080
贵州卫视,贵州卫视,贵州卫视,贵州卫视.png,卫视,233.50.201.142:5140,5375988,1920x1080
重庆卫视,重庆卫视,重庆卫视,重庆卫视.png,卫视,233.50.201.143:5140,5375987,1920x1080
河南卫视,河南卫视,河南卫视,河南卫视.png,卫视,233.50.201.144:5140,5375986,1920x1080
江西卫视,江西卫视,江西卫视,江西卫视.png,卫视,233.50.201.145:5140,5375985,1920x1080
东南卫视,东南卫视,东南卫视,东南卫视.png,卫视,233.50.201.146:5140,5375984,1920x1080
安徽卫视,安徽卫视,安徽卫视,安徽卫视.png,卫视,233.50.201.113:5140,4626,1920x1080
湖北卫视,湖北卫视,湖北卫视,湖北卫视.png,卫视,233.50.201.114:5140,4625,1920x1080
黑龙江卫视,黑龙江卫视,黑龙江卫视,黑龙江卫视.png,卫视,233.50.201.115:5140,4624,1920x1080
东方卫视,东方卫视,东方卫视,东方卫视.png,卫视,233.50.201.125:5140,4744,1920x1080
甘肃卫视,甘肃卫视,甘肃卫视,甘肃卫视.png,卫视,233.50.200.163:5140,,1920x1080
海南卫视,海南卫视,海南卫视,海南卫视.png,卫视,233.50.200.165:5140,,1920x1080
广西卫视,广西卫视,广西卫视,广西卫视.png,卫视,233.50.200.136:5140,,1920x1080
云南卫视,云南卫视,云南卫视,云南卫视.png,卫视,233.50.200.115:5140,,1920x1080
吉林卫视,吉林卫视,吉林卫视,吉林卫视.png,卫视,233.50.200.164:5140,,1920x1080
三沙卫视,三沙卫视,三沙卫视,三沙卫视.png,卫视,233.50.200.175:5140,,1920x1080
内蒙古卫视,内蒙古卫视,内蒙古卫视,内蒙古卫视.png,卫视,233.50.201.148:5140,5376065,720x576
青海卫视,青海卫视,青海卫视,青海卫视.png,卫视,233.50.201.65:5140,2784,720x576
西藏卫视,西藏卫视,西藏卫视,西藏卫视.png,卫视,233.50.202.43:5140,134307491,1920x1080
陕西卫视,陕西卫视,陕西卫视,陕西卫视.png,卫视,233.50.201.59:5140,2818,720x576
