ChannelID,ChannelName,ChannelGroup,Tvg-id,Tvg-name,Logo,ChannelURL_igmp,ChannelURL_rtsp,TimeShift,TimeShiftLength,BackTime,Index,Resolution
4646,CCTV1综合高清,央视高清,CCTV1综合高清,CCTV1综合高清,CCTV1.png,233.50.201.118:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228078/10000100000000060000000002460690_0.smil,1,14400,7,101.0,1920x1080
4704,CCTV2财经高清,央视高清,CCTV2财经高清,CCTV2财经高清,CCTV2.png,233.50.201.119:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228083/10000100000000060000000002633372_0.smil,1,14400,7,102.0,1920x1080
5376344,CCTV3综艺高清,央视高清,CCTV3综艺高清,CCTV3综艺高清,CCTV3.png,233.50.201.196:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229136/10000100000000060000000005809121_0.smil,0,0,0,103.0,1920x1080
139134402,CCTV4中文国际高清,央视高清,CCTV4中文国际高清,CCTV4中文国际高清,CCTV4.png,233.50.201.127:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229474/139134403.smil,1,14400,3,104.0,1920x1080
5376348,CCTV5体育高清,央视高清,CCTV5体育,CCTV5体育,CCTV5.png,233.50.201.197:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229114/10000100000000060000000005809143_0.smil,0,0,0,105.0,1920x1080
52583203,CCTV5+体育赛事高清,央视高清,CCTV5+体育赛事,CCTV5+体育赛事,CCTV5+.png,233.50.201.220:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229201/52583204.smil,0,0,0,105.5,1920x1080
5376347,CCTV6电影高清,央视高清,CCTV6电影高清,CCTV6电影高清,CCTV6.png,233.50.201.198:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229161/10000100000000060000000005809142_0.smil,0,0,0,106.0,1920x1080
4709,CCTV7国防军事高清,央视高清,CCTV7国防军事高清,CCTV7国防军事高清,CCTV7.png,233.50.201.120:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228093/10000100000000060000000002633385_0.smil,1,14400,7,107.0,1920x1080
5376346,CCTV8电视剧高清,央视高清,CCTV8电视剧高清,CCTV8电视剧高清,CCTV8.png,233.50.201.199:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229157/10000100000000060000000005809141_0.smil,0,0,0,108.0,1920x1080
4708,CCTV9纪录高清,央视高清,CCTV9纪录高清,CCTV9纪录高清,CCTV9.png,233.50.201.121:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228112/10000100000000060000000002633384_0.smil,1,14400,7,109.0,1920x1080
4707,CCTV10科教高清,央视高清,CCTV10科教高清,CCTV10科教高清,CCTV10.png,233.50.201.122:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228131/10000100000000060000000002633383_0.smil,1,14400,7,110.0,1920x1080
4706,CCTV12社会与法高清,央视高清,CCTV12社会与法高清,CCTV12社会与法高清,CCTV12.png,233.50.201.123:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228130/10000100000000060000000002633382_0.smil,1,14400,7,112.0,1920x1080
52628614,CCTV13新闻高清,央视高清,CCTV13新闻高清,CCTV13新闻高清,CCTV13.png,233.50.201.246:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229154/52628615.smil,1,7200,3,113.0,1920x1080
4705,CCTV14少儿高清,央视高清,CCTV14少儿高清,CCTV14少儿高清,CCTV14.png,233.50.201.124:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228088/10000100000000060000000002633381_0.smil,1,14400,3,114.0,1920x1080
70526245,CCTV16奥林匹克高清,央视高清,CCTV16奥林匹克,CCTV16奥林匹克,CCTV16.png,233.50.201.192:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229307/70526246.smil,0,0,0,116.0,1920x1080
2800,CCTV1综合,央视标清,CCTV1综合,CCTV1综合,CCTV1.png,233.50.201.1:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221227767/10000100000000060000000000304156_0.smil,1,7200,3,201.0,720x576
2805,CCTV2财经,央视标清,CCTV2财经,CCTV2财经,CCTV2.png,233.50.201.2:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221227795/10000100000000060000000000304162_0.smil,1,7200,3,202.0,720x576
